title,author,is_loaned,copies,genre,year,available,waiting_list,borrow_count,popularity_score
The Catcher in the Rye,J.D. Salinger,"{1: 'no', 2: 'no', 3: 'no'}",3,Fiction,1951,3,[],0,0
To Kill a Mockingbird,Harper Lee,"{1: 'yes', 2: 'yes'}",2,Fiction,1960,0,[],2,2
1984,George Orwell,"{1: 'yes', 2: 'yes', 3: 'yes', 4: 'yes', 5: 'yes'}",5,Dystopian,1949,0,[],5,5
The Great Gatsby,F. Scott Fitzgerald,"{1: 'no', 2: 'no', 3: 'no', 4: 'no'}",4,Classic,1925,4,[],0,0
Moby Dick,Herman Melville,{1: 'no'},1,Adventure,1851,1,[],0,0
Pride and Prejudice,Jane Austen,"{1: 'yes', 2: 'yes', 3: 'yes'}",3,Romance,1813,0,[],3,3
War and Peace,Leo Tolstoy,"{1: 'no', 2: 'no'}",2,Historical Fiction,1869,2,[],0,0
Great Expectations,Charles Dickens,"{1: 'no', 2: 'no', 3: 'no'}",3,Classic,1861,3,[],0,0
Crime and Punishment,Fyodor Dostoevsky,{1: 'yes'},1,Psychological Drama,1866,0,[],1,1
The Brothers Karamazov,Fyodor Dostoevsky,"{1: 'no', 2: 'no', 3: 'no'}",3,Philosophy,1880,3,[],0,0
The Divine Comedy,Dante Alighieri,{1: 'yes'},1,Epic Poetry,1320,0,[],1,1
Jane Eyre,Charlotte Brontë,"{1: 'no', 2: 'no'}",2,Gothic Fiction,1847,2,[],0,0
Wuthering Heights,Emily Brontë,"{1: 'no', 2: 'no', 3: 'no', 4: 'no'}",4,Gothic Romance,1847,4,[],0,0
Anna Karenina,Leo Tolstoy,"{1: 'yes', 2: 'yes'}",2,Fiction,1877,0,[],2,2
Madame Bovary,Gustave Flaubert,"{1: 'no', 2: 'no', 3: 'no'}",3,Realism,1857,3,[],0,0
The Iliad,Homer,{1: 'yes'},1,Epic Poetry,-750,0,[],1,1
The Sound and the Fury,William Faulkner,"{1: 'no', 2: 'no'}",2,Modernism,1929,2,[],0,0
Invisible Man,Ralph Ellison,{1: 'yes'},1,Fiction,1952,0,[],1,1
Beloved,Toni Morrison,"{1: 'yes', 2: 'yes', 3: 'yes'}",3,Historical Fiction,1987,0,[],3,3
Catch-22,Joseph Heller,"{1: 'no', 2: 'no', 3: 'no', 4: 'no'}",4,Satire,1961,4,[],0,0
Slaughterhouse-Five,Kurt Vonnegut,"{1: 'yes', 2: 'yes'}",2,Science Fiction,1969,0,[],2,2
Brave New World,Aldous Huxley,"{1: 'no', 2: 'no', 3: 'no', 4: 'no', 5: 'no'}",5,Dystopian,1932,5,[],0,0
Heart of Darkness,Joseph Conrad,"{1: 'yes', 2: 'yes', 3: 'yes'}",3,Adventure,1899,0,[],3,3
The Grapes of Wrath,John Steinbeck,"{1: 'no', 2: 'no'}",2,Fiction,1939,2,[],0,0
Of Mice and Men,John Steinbeck,{1: 'yes'},1,Tragedy,1937,0,[],1,1
The Old Man and the Sea,Ernest Hemingway,"{1: 'no', 2: 'no', 3: 'no'}",3,Fiction,1952,3,[],0,0
The Hobbit,J.R.R. Tolkien,"{1: 'yes', 2: 'yes', 3: 'yes', 4: 'yes'}",4,Fantasy,1937,0,[],4,4
The Lord of the Rings,J.R.R. Tolkien,"{1: 'yes', 2: 'yes'}",2,Fantasy,1954,0,[],2,2
Harry Potter and the Philosopher's Stone,J.K. Rowling,"{1: 'no', 2: 'no', 3: 'no', 4: 'no', 5: 'no', 6: 'no', 7: 'no'}",7,Fantasy,1997,7,[],0,0
A Game of Thrones,George R.R. Martin,"{1: 'yes', 2: 'yes', 3: 'yes', 4: 'yes', 5: 'yes'}",5,Fantasy,1996,0,[],5,5
The Name of the Wind,Patrick Rothfuss,"{1: 'no', 2: 'no', 3: 'no'}",3,Fantasy,2007,3,[],0,0
Mistborn: The Final Empire,Brandon Sanderson,"{1: 'yes', 2: 'yes', 3: 'yes', 4: 'yes'}",4,Fantasy,2006,0,[],4,4
The Handmaid's Tale,Margaret Atwood,"{1: 'no', 2: 'no', 3: 'no'}",3,Dystopian,1985,3,[],0,0
The Odyssey,Homer,"{1: 'yes', 2: 'yes'}",2,Epic Poetry,-800,0,[],2,2
