title,author,is_loaned,copies,genre,year,available,waiting_list,borrow_count,popularity_score
The Catcher in the Rye,J.D. Salinger,"{1: 'no', 2: 'no', 3: 'no'}",3,Fiction,1951,3,[],0,2
To Kill a Mockingbird,Harper Lee,"{1: 'yes', 2: 'yes'}",2,Fiction,1960,0,[],2,4
1984,George Orwell,"{1: 'yes', 2: 'yes', 3: 'yes', 4: 'yes', 5: 'yes'}",5,Dystopian,1949,0,[],5,7
The Great Gatsby,F. Scott Fitzgerald,"{1: 'no', 2: 'no', 3: 'no', 4: 'no'}",4,Classic,1925,4,[],0,2
Moby Dick,Herman Melville,{1: 'no'},1,Adventure,1851,1,[],0,2
Pride and Prejudice,Jane Austen,"{1: 'yes', 2: 'yes', 3: 'yes'}",3,Romance,1813,0,[],3,5
War and Peace,Leo Tolstoy,"{1: 'no', 2: 'no'}",2,Historical Fiction,1869,2,[],0,2
Great Expectations,Charles Dickens,"{1: 'no', 2: 'no', 3: 'no'}",3,Classic,1861,3,[],0,2
Crime and Punishment,Fyodor Dostoevsky,{1: 'yes'},1,Psychological Drama,1866,0,[],1,3
The Brothers Karamazov,Fyodor Dostoevsky,"{1: 'no', 2: 'no', 3: 'no'}",3,Philosophy,1880,3,[],0,2
The Divine Comedy,Dante Alighieri,{1: 'yes'},1,Epic Poetry,1320,0,[],1,3
Jane Eyre,Charlotte Brontë,"{1: 'no', 2: 'no'}",2,Gothic Fiction,1847,2,[],0,2
Wuthering Heights,Emily Brontë,"{1: 'no', 2: 'no', 3: 'no', 4: 'no'}",4,Gothic Romance,1847,4,[],0,2
Anna Karenina,Leo Tolstoy,"{1: 'yes', 2: 'yes'}",2,Fiction,1877,0,[],2,4
Madame Bovary,Gustave Flaubert,"{1: 'no', 2: 'no', 3: 'no'}",3,Realism,1857,3,[],0,2
The Iliad,Homer,{1: 'yes'},1,Epic Poetry,-750,0,[],1,3
The Sound and the Fury,William Faulkner,"{1: 'no', 2: 'no'}",2,Modernism,1929,2,[],0,2
Invisible Man,Ralph Ellison,{1: 'yes'},1,Fiction,1952,0,[],1,3
Beloved,Toni Morrison,"{1: 'yes', 2: 'yes', 3: 'yes'}",3,Historical Fiction,1987,0,[],3,5
Catch-22,Joseph Heller,"{1: 'no', 2: 'no', 3: 'no', 4: 'no'}",4,Satire,1961,4,[],0,2
Slaughterhouse-Five,Kurt Vonnegut,"{1: 'yes', 2: 'yes'}",2,Science Fiction,1969,0,[],2,4
Brave New World,Aldous Huxley,"{1: 'no', 2: 'no', 3: 'no', 4: 'no', 5: 'no'}",5,Dystopian,1932,5,[],0,2
Heart of Darkness,Joseph Conrad,"{1: 'yes', 2: 'yes', 3: 'yes'}",3,Adventure,1899,0,[],3,5
The Grapes of Wrath,John Steinbeck,"{1: 'no', 2: 'no'}",2,Fiction,1939,2,[],0,2
Of Mice and Men,John Steinbeck,{1: 'yes'},1,Tragedy,1937,0,[],1,3
The Old Man and the Sea,Ernest Hemingway,"{1: 'no', 2: 'no', 3: 'no'}",3,Fiction,1952,3,[],0,2
The Hobbit,J.R.R. Tolkien,"{1: 'yes', 2: 'yes', 3: 'yes', 4: 'yes'}",4,Fantasy,1937,0,[],4,6
The Lord of the Rings,J.R.R. Tolkien,"{1: 'yes', 2: 'yes'}",2,Fantasy,1954,0,[],2,4
Harry Potter and the Philosopher's Stone,J.K. Rowling,"{1: 'no', 2: 'no', 3: 'no', 4: 'no', 5: 'no', 6: 'no', 7: 'no'}",7,Fantasy,1997,7,[],0,2
A Game of Thrones,George R.R. Martin,"{1: 'yes', 2: 'yes', 3: 'yes', 4: 'yes', 5: 'yes'}",5,Fantasy,1996,0,[],5,7
The Name of the Wind,Patrick Rothfuss,"{1: 'no', 2: 'no', 3: 'no'}",3,Fantasy,2007,3,[],0,2
Mistborn: The Final Empire,Brandon Sanderson,"{1: 'yes', 2: 'yes', 3: 'yes', 4: 'yes'}",4,Fantasy,2006,0,[],4,6
The Handmaid's Tale,Margaret Atwood,"{1: 'no', 2: 'no', 3: 'no'}",3,Dystopian,1985,3,[],0,2
The Odyssey,Homer,"{1: 'yes', 2: 'yes'}",2,Epic Poetry,-800,0,[],2,4
